title,console,genre,na_sales,release_date,day2,day3,day4,day5,day6,day7
Omen of Sorrow,PS4,Fighting,0.03,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
World of Final Fantasy Maxima,XOne,Role-Playing,0.03,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-10,2018-11-11,2018-11-12
Divinity Original Sin II,XOne,Role-Playing,0.03,2018-08-31,2018-09-01,2018-09-02,2018-09-03,2018-09-04,2018-09-05,2018-09-06
PennyPunching Princess,NS,Misc,0.03,2018-04-03,2018-04-04,2018-04-05,2018-04-06,2018-04-07,2018-04-08,2018-04-09
Persona 5 Dancing in Starlight,PS4,Music,0.03,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-08,2018-12-09,2018-12-10
Little Dragons Cafe,PS4,Simulation,0.03,2018-08-24,2018-08-25,2018-08-26,2018-08-27,2018-08-28,2018-08-29,2018-08-30
New Gundam Breaker,PS4,Action,0.03,2018-06-22,2018-06-23,2018-06-24,2018-06-25,2018-06-26,2018-06-27,2018-06-28
The Longest 5 Minutes,NS,Action,0.03,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19
Battle Chasers Nightwar,NS,Role-Playing,0.03,2018-05-15,2018-05-16,2018-05-17,2018-05-18,2018-05-19,2018-05-20,2018-05-21
Shadows Awakening,XOne,Role-Playing,0.03,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-08,2018-09-09,2018-09-10
Disgaea 1 Complete,NS,Role-Playing,0.03,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15
Blade Strangers,NS,Fighting,0.03,2018-08-28,2018-08-29,2018-08-30,2018-08-31,2018-09-01,2018-09-02,2018-09-03
South Park The Stick of Truth,PS4,Role-Playing,0.03,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-17,2018-02-18,2018-02-19
Immortal Unchained,XOne,Role-Playing,0.03,2018-09-07,2018-09-08,2018-09-09,2018-09-10,2018-09-11,2018-09-12,2018-09-13
Immortal Unchained,PS4,Role-Playing,0.03,2018-09-07,2018-09-08,2018-09-09,2018-09-10,2018-09-11,2018-09-12,2018-09-13
Valkyria Chronicles 4,XOne,Role-Playing,0.03,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-09-29,2018-09-30,2018-10-01
AllStar Fruit Racing,PS4,Racing,0.03,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-25,2018-08-26,2018-08-27
Earthfall,XOne,Action-Adventure,0.03,2018-07-13,2018-07-14,2018-07-15,2018-07-16,2018-07-17,2018-07-18,2018-07-19
MXGP Pro,XOne,Racing,0.03,2018-07-10,2018-07-11,2018-07-12,2018-07-13,2018-07-14,2018-07-15,2018-07-16
Aqua Moto Racing Utopia,NS,Racing,0.03,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-03-31,2018-04-01,2018-04-02
Ride 3,XOne,Racing,0.03,2018-11-30,2018-12-01,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06
My Riding Stables Life with Horses,PS4,Simulation,0.03,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19
Mutant Football League Dynasty Edition,XOne,Sports,0.03,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-03,2018-11-04,2018-11-05
Pure Farming 2018,XOne,Simulation,0.03,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-17,2018-03-18,2018-03-19
Hellblade Senuas Sacrifice,PS4,Action-Adventure,0.03,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-08,2018-12-09,2018-12-10
Surviving Mars,PS4,Simulation,0.03,2018-03-15,2018-03-16,2018-03-17,2018-03-18,2018-03-19,2018-03-20,2018-03-21
Railway Empire,XOne,Simulation,0.03,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03,2018-02-04,2018-02-05
8 to Glory The Official Game of the PBR,PS4,Sports,0.03,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-03,2018-11-04,2018-11-05
Ride 3,PS4,Racing,0.03,2018-11-30,2018-12-01,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06
Earthfall,PS4,Action-Adventure,0.03,2018-07-13,2018-07-14,2018-07-15,2018-07-16,2018-07-17,2018-07-18,2018-07-19
Super Bomberman R,XOne,Puzzle,0.03,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-16,2018-06-17,2018-06-18
Super Bomberman R,PS4,Puzzle,0.03,2018-06-12,2018-06-13,2018-06-14,2018-06-15,2018-06-16,2018-06-17,2018-06-18
