title,console,genre,na_sales,release_date,day2,day3,day4,day5,day6,day7
Yokus Island Express,PS4,Action,0.01,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25
Titan Quest,NS,Action,0.01,2018-07-31,2018-08-01,2018-08-02,2018-08-03,2018-08-04,2018-08-05,2018-08-06
Yokus Island Express,NS,Action,0.01,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25
VRally 4,PS4,Racing,0.01,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-15,2018-09-16,2018-09-17
Trailblazers,NS,Racing,0.01,2018-04-15,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-21
VRally 4,XOne,Racing,0.01,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-15,2018-09-16,2018-09-17
Megadimension Neptunia VIIR,PS4,Role-Playing,0.01,2018-05-08,2018-05-09,2018-05-10,2018-05-11,2018-05-12,2018-05-13,2018-05-14
ATV Drift  Tricks,NS,Racing,0.01,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28
Dakar 18,XOne,Racing,0.01,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-09-29,2018-09-30,2018-10-01
GRIP Combat Racing,NS,Racing,0.01,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-10,2018-11-11,2018-11-12
GRIP Combat Racing,PS4,Racing,0.01,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-10,2018-11-11,2018-11-12
AllStar Fruit Racing,NS,Racing,0.01,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-25,2018-08-26,2018-08-27
Moto Racer 4,NS,Racing,0.01,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26
Gungrave VR,PS4,Shooter,0.01,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-15,2018-12-16,2018-12-17
Touhou Genso Wanderer Reloaded,PS4,Role-Playing,0.01,2018-07-17,2018-07-18,2018-07-19,2018-07-20,2018-07-21,2018-07-22,2018-07-23
Touhou Genso Wanderer Reloaded,NS,Role-Playing,0.01,2018-07-17,2018-07-18,2018-07-19,2018-07-20,2018-07-21,2018-07-22,2018-07-23
Fallen Legion Rise to Glory,NS,Role-Playing,0.01,2018-05-29,2018-05-30,2018-05-31,2018-06-01,2018-06-02,2018-06-03,2018-06-04
Moonlighter,PS4,Role-Playing,0.01,2018-11-09,2018-11-10,2018-11-11,2018-11-12,2018-11-13,2018-11-14,2018-11-15
Banner Saga Trilogy,NS,Role-Playing,0.01,2018-09-21,2018-09-22,2018-09-23,2018-09-24,2018-09-25,2018-09-26,2018-09-27
Mothergunship,XOne,Shooter,0.01,2018-08-24,2018-08-25,2018-08-26,2018-08-27,2018-08-28,2018-08-29,2018-08-30
Mothergunship,PS4,Shooter,0.01,2018-08-24,2018-08-25,2018-08-26,2018-08-27,2018-08-28,2018-08-29,2018-08-30
Tempest 4000,PS4,Shooter,0.01,2018-07-27,2018-07-28,2018-07-29,2018-07-30,2018-07-31,2018-08-01,2018-08-02
Tempest 4000,XOne,Shooter,0.01,2018-07-27,2018-07-28,2018-07-29,2018-07-30,2018-07-31,2018-08-01,2018-08-02
Big Buck Hunter Arcade,NS,Shooter,0.01,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22
Gal Metal,NS,Music,0.01,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-03,2018-11-04,2018-11-05
Happy Birthdays,NS,Misc,0.01,2018-06-05,2018-06-06,2018-06-07,2018-06-08,2018-06-09,2018-06-10,2018-06-11
Musynx,NS,Music,0.01,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25
Just Deal With It,PS4,Party,0.01,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-08,2018-12-09,2018-12-10
VOEZ,NS,Music,0.01,2018-08-14,2018-08-15,2018-08-16,2018-08-17,2018-08-18,2018-08-19,2018-08-20
Hotel Transylvania 3 Monsters Overboard,NS,Action-Adventure,0.01,2018-07-10,2018-07-11,2018-07-12,2018-07-13,2018-07-14,2018-07-15,2018-07-16
Max The Curse of Brotherhood,NS,Action-Adventure,0.01,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-04-28,2018-04-29,2018-04-30
Under Night InBirth ExeLatest,PS4,Fighting,0.01,2018-02-09,2018-02-10,2018-02-11,2018-02-12,2018-02-13,2018-02-14,2018-02-15
Wordhunters,PS4,Misc,0.01,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-08,2018-12-09,2018-12-10
Brawlout,NS,Fighting,0.01,2018-06-26,2018-06-27,2018-06-28,2018-06-29,2018-06-30,2018-07-01,2018-07-02
Flashback,NS,Platform,0.01,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26
Flashback,PS4,Platform,0.01,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26
SteamWorld Dig 2,PS4,Platform,0.01,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25
Candle The Power of the Flame,NS,Platform,0.01,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22
Giana Sisters Twisted Dreams,NS,Platform,0.01,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-09-29,2018-09-30,2018-10-01
SteamWorld Dig 2,NS,Platform,0.01,2018-06-19,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24,2018-06-25
Rapala Fishing Pro Series,NS,Simulation,0.01,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22
Project Highrise Architects Edition,XOne,Simulation,0.01,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19
Project Highrise Architects Edition,NS,Simulation,0.01,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19
Gal Gun 2,NS,Simulation,0.01,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-04-28,2018-04-29,2018-04-30
Project Highrise Architects Edition,PS4,Simulation,0.01,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19
